parameter_id,value,unit,citation,required_by,description
energy.electricity_ghg_factor,,kg CO2e/kWh,,energy; field; manure,"Electricity greenhouse-gas factor selected by the caller"
energy.coal_ghg_factor,,kg CO2e/kg coal,,energy,"Coal greenhouse-gas factor"
energy.diesel_density_kg_l,,kg/L,,energy; feed production; field; transport,"Diesel density"
energy.diesel_ghg_factor,,kg CO2e/kg diesel,,energy; field; transport,"Diesel greenhouse-gas factor"
energy.coal_lhv_mj_kg,,MJ/kg,,energy,"Coal lower heating value"
energy.diesel_energy_content_mj_l,,MJ/L,,energy; feed production; field; transport,"Diesel energy content"
energy.natural_gas_lhv_mj_m3,,MJ/m3,,energy,"Natural-gas lower heating value"
enteric.rom_npn_correction_factor,,factor,,enteric,"Correction applied to non-protein nitrogen in residual organic matter"
enteric.diet_energy_ndf_factor_mcal_kg,,Mcal/kg DM,,enteric,"Diet-energy factor for neutral detergent fibre"
enteric.diet_energy_starch_factor_mcal_kg,,Mcal/kg DM,,enteric,"Diet-energy factor for starch"
enteric.diet_energy_rom_factor_mcal_kg,,Mcal/kg DM,,enteric,"Diet-energy factor for residual organic matter"
enteric.diet_energy_fatty_acid_factor_mcal_kg,,Mcal/kg DM,,enteric,"Diet-energy factor for fatty acids"
enteric.diet_energy_true_protein_factor_mcal_kg,,Mcal/kg DM,,enteric,"Diet-energy factor for true protein"
enteric.diet_energy_npn_factor_mcal_kg,,Mcal/kg DM,,enteric,"Diet-energy factor for non-protein nitrogen"
enteric.methane_energy_content_mj_kg,,MJ/kg CH4,,enteric,"Energy content of methane"
enteric.methane_conversion_factor_pct,,percent,,enteric,"Share of gross energy converted to methane"
characterization.gwp_ch4_100yr,,kg CO2e/kg CH4,,enteric; manure,"Biogenic methane 100-year global warming potential"
nutrition.protein_to_nitrogen_factor,,kg CP/kg N,,enteric; manure,"Crude-protein to nitrogen conversion factor"
field.nox_from_n2o_n_factor,,factor,,field,"NOx-N derived per unit N2O-N"
field.n_runoff_fraction,,fraction,,field,"Nitrogen runoff fraction"
field.n_leaching_fraction,,fraction,,field,"Nitrogen leaching fraction applied to the residual balance"
field.p_runoff_fraction,,fraction,,field,"Phosphorus runoff fraction"
field.p_leaching_fraction,,fraction,,field,"Phosphorus leaching fraction applied to the residual balance"
field.urea_co2_factor,,kg CO2/kg urea,,field,"Carbon-dioxide emission factor for urea application"
characterization.gwp_n2o_100yr,,kg CO2e/kg N2O,,field; transport; manure,"Nitrous-oxide 100-year global warming potential"
transport.diesel_n2o_kg_per_tj,,kg N2O/TJ,,field; transport,"Diesel-combustion nitrous-oxide factor"
transport.road_payload_t,,t,,transport,"Loaded road-vehicle payload"
transport.road_loaded_fuel_l_100km,,L/100 km,,transport,"Loaded road-vehicle fuel consumption"
transport.sea_effective_capacity_t,,t cargo,,transport,"Effective vessel cargo capacity"
transport.sea_speed_kn,,kn,,transport,"Vessel speed in nautical miles per hour"
transport.sea_load_factor,,fraction,,transport,"Main-engine load factor"
transport.sea_engine_power_kw,,kW,,transport,"Main-engine rated power"
transport.sea_load_power_correction_factor,,factor,,transport,"Externally supplied vessel load-power correction"
transport.hfo_specific_fuel_g_kwh,,g/kWh,,transport,"Heavy-fuel-oil specific consumption"
transport.hfo_co2_kg_t,,kg CO2/t HFO,,transport,"HFO carbon-dioxide factor"
transport.hfo_ch4_kg_t,,kg CH4/t HFO,,transport,"HFO methane factor"
transport.hfo_n2o_kg_t,,kg N2O/t HFO,,transport,"HFO nitrous-oxide factor"
transport.hfo_nox_kg_t,,kg NOx/t HFO,,transport,"HFO nitrogen-oxides factor"
transport.hfo_co_kg_t,,kg CO/t HFO,,transport,"HFO carbon-monoxide factor"
transport.hfo_sox_kg_t,,kg SOx/t HFO,,transport,"HFO sulfur-oxides factor used in acidification characterization"
characterization.gwp_ch4_fossil_100yr,,kg CO2e/kg CH4,,transport,"Fossil methane 100-year global warming potential"
manure.volatile_solids_kg_per_1000kg_bw_day,,kg VS/(1000 kg BW day),,manure,"Volatile-solids excretion factor"
manure.nitrogen_retention_fraction,,fraction,,manure,"Animal nitrogen-retention fraction"
manure.feces_dry_matter_fraction,,fraction,,manure,"Manure faecal dry-matter fraction"
manure.feces_phosphorus_dm_fraction,,fraction,,manure,"Phosphorus fraction of faecal dry matter"
manure.total_carbon_vs_ratio,,kg C/kg VS,,manure,"Total-carbon to volatile-solids ratio"
manure.heat_generation_ghg_factor,,kg CO2e/MJ,,manure,"Displaced heat-generation greenhouse-gas factor"
overall.fpcm_base_factor,,kg FPCM/kg milk,,overall,"Base term in the FPCM equation"
overall.fpcm_fat_factor,,kg FPCM/kg milk per fat fraction,,overall,"Milk-fat term in the FPCM equation"
overall.fpcm_protein_factor,,kg FPCM/kg milk per protein fraction,,overall,"Milk-protein term in the FPCM equation"
characterization.ep_n_factor,,g PO4e/g N,,overall,"Eutrophication factor for nitrogen"
characterization.ep_p_factor,,g PO4e/g P,,overall,"Eutrophication factor for phosphorus"
characterization.ap_n_factor,,g SO2e/g N,,overall,"Acidification factor for nitrogen"
characterization.ap_so2_factor,,g SO2e/g SO2,,overall,"Acidification factor for sulfur dioxide equivalent mass"
field.application.<method_id>.nh3_fraction,,fraction,,field pattern,"Copy this row and replace method_id for each public application method"
field.application.<method_id>.n2o_fraction,,fraction,,field pattern,"Copy this row and replace method_id for each public application method"
manure.<pathway_stage>.<method_id>.<loss_name>_fraction,,fraction,,manure pattern,"Create one row per required loss name for each explicit pathway method"
<agricultural_input_ghg_factor_id>,,kg CO2e/kg input,,feed production pattern,"Replace with the factor ID referenced by an agricultural input"
<agricultural_input_n2o_factor_id>,,g N2O/kg input,,feed production pattern,"Replace with the factor ID referenced by an agricultural input"
<agricultural_input_nh3_factor_id>,,g NH3/kg input,,feed production pattern,"Replace with the factor ID referenced by an agricultural input"
<agricultural_input_p_factor_id>,,g P/kg input,,feed production pattern,"Replace with the factor ID referenced by an agricultural input"
<custom_electricity_ghg_factor_id>,,kg CO2e/kWh,,energy pattern,"Use only when an activity selects a custom electricity factor ID"
