parameter_id,value,unit,citation,required_by,description
energy.electricity_ghg_factor,1,kg CO2e/kWh,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,energy; field; manure,Electricity greenhouse-gas factor selected by the caller
energy.coal_ghg_factor,1,kg CO2e/kg coal,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,energy,Coal greenhouse-gas factor
energy.diesel_density_kg_l,1,kg/L,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,energy; feed production; field; transport,Diesel density
energy.diesel_ghg_factor,1,kg CO2e/kg diesel,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,energy; field; transport,Diesel greenhouse-gas factor
energy.coal_lhv_mj_kg,1,MJ/kg,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,energy,Coal lower heating value
energy.diesel_energy_content_mj_l,1,MJ/L,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,energy; feed production; field; transport,Diesel energy content
energy.natural_gas_lhv_mj_m3,1,MJ/m3,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,energy,Natural-gas lower heating value
enteric.rom_npn_correction_factor,1,factor,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,enteric,Correction applied to non-protein nitrogen in residual organic matter
enteric.diet_energy_ndf_factor_mcal_kg,1,Mcal/kg DM,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,enteric,Diet-energy factor for neutral detergent fibre
enteric.diet_energy_starch_factor_mcal_kg,1,Mcal/kg DM,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,enteric,Diet-energy factor for starch
enteric.diet_energy_rom_factor_mcal_kg,1,Mcal/kg DM,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,enteric,Diet-energy factor for residual organic matter
enteric.diet_energy_fatty_acid_factor_mcal_kg,1,Mcal/kg DM,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,enteric,Diet-energy factor for fatty acids
enteric.diet_energy_true_protein_factor_mcal_kg,1,Mcal/kg DM,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,enteric,Diet-energy factor for true protein
enteric.diet_energy_npn_factor_mcal_kg,1,Mcal/kg DM,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,enteric,Diet-energy factor for non-protein nitrogen
enteric.methane_energy_content_mj_kg,1,MJ/kg CH4,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,enteric,Energy content of methane
enteric.methane_conversion_factor_pct,1,percent,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,enteric,Share of gross energy converted to methane
characterization.gwp_ch4_100yr,1,kg CO2e/kg CH4,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,enteric; manure,Biogenic methane 100-year global warming potential
nutrition.protein_to_nitrogen_factor,1,kg CP/kg N,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,enteric; manure,Crude-protein to nitrogen conversion factor
field.nox_from_n2o_n_factor,1,factor,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,field,NOx-N derived per unit N2O-N
field.n_runoff_fraction,0.1,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,field,Nitrogen runoff fraction
field.n_leaching_fraction,0.1,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,field,Nitrogen leaching fraction applied to the residual balance
field.p_runoff_fraction,0.1,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,field,Phosphorus runoff fraction
field.p_leaching_fraction,0.1,fraction,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,field,Phosphorus leaching fraction applied to the residual balance
field.urea_co2_factor,1,kg CO2/kg urea,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,field,Carbon-dioxide emission factor for urea application
characterization.gwp_n2o_100yr,1,kg CO2e/kg N2O,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,field; transport; manure,Nitrous-oxide 100-year global warming potential
transport.diesel_n2o_kg_per_tj,1,kg N2O/TJ,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,field; transport,Diesel-combustion nitrous-oxide factor
transport.road_payload_t,10,t,SYNTHETIC DEMONSTRATION ONLY — NOT FOR RESEARCH USE OR SCIENTIFIC INTERPRETATION.,transport,Loaded road-vehicle payload
